"구분","리뷰 건수","전체 대비 비율","대표 리뷰","대표 리뷰 날짜","대표 리뷰 평점"
"아이: 학습 후 성장 경험 부족","3","0.3%","문제가 너무 쉬워요. 1분만에 끝내버리네요 돈 천원 벌기 쉽다 생각하겠어요. 하루에 풀수 있는 문제수를 늘려주시거나 4지선다형으로 만들어주심 좋을것 같아요","2023-05-27","5"
"부모: 체계적인 금융학습 확인 부족","19","2.1%","다만 아이가 학습한 내용을 부모폰에서 볼수없어서 아쉬워요","2023-04-25","4"
"돈이 학습 행동의 동기가 된 경험","126","13.7%","… 이용내역을 한눈에 볼 수 있어 좋습니다. 또 경제상식문제를 풀때마다 부모가 책정한 용돈이 지급되어 자녀에게는 동기부여가 되며 자연스럽게 경제에 대해 배울수 있는…","2023-08-08","5"
"돈 보상의 아쉬움 또는 부작용","11","1.2%","아이가 문제보다 돈을 더 우선시 하니까 그건 좀 그렇더라고요.. 문제를 틀렸을 경우 보상(돈)이 없었으면 좋겠습니다. 아이가 문제 틀려도 보상을 받으니 문제를 제대로 읽는 것 같지도 않고 해설도 제대로 보지 않습니다","2024-03-28","3"
"아이의 학습 지속·흥미·이용 의욕","135","14.7%","아이가 매일 아침 퀴즈 푸는 재미에 푹 빠졌더라고요. 덕분에 경제공부도 되고. 그렇게 퀴즈풀고 모은 용돈 으로 간식 사먹는데 돈 줄어드는것보고 아낀다며 싼거 사먹…","2023-04-25","5"
"부모의 금전적 보상 부담","7","0.8%","매일 퀴즈를 풀면 용돈보상이 되니까 퀴즈 풀고 용돈모으는 재미가 생겼어요~^^ 덕분에 엄마는 용돈충전해놓기 바쁘네요~^^","2023-04-09","4"
"[참고] 학습효과를 긍정 언급","154","16.7%","이런 어플이 드디어 나왔네요~ 매일 꾸준히 이론적으로도 학습하고 직접 용돈 사용해보면서 학습하고 유익합니다. 무엇보다 금융에 관심을 갖게되어서 학교밖에서도 관련 …","2023-04-10","5"
